Sum of HNI,IPO Name,IPO Success,Sum of Issue Size,Year,Quarter,Month,Day,Sum of Offer Price,Sum of QIB,Sum of RII,Sum of Total,Sum of Year
0.4,Dr Agarwal's Healthcare Limited,0,3027.26,2025,Qtr 1,February,4,402,4.64,0.41,1.55,2025
61.28,Dr Lal Pathlabs Ltd,1,631.91,2015,Qtr 4,December,23,550,63.56,4.24,33.41,2015
2.65,Dr. Datsons Labs Ltd,0,117,2011,Qtr 2,May,27,234,0.14,1.84,1.11,2011
37.66,Dreamfolks Services,1,562.1,2022,Qtr 3,September,6,326,70.53,43.66,56.68,2022
382.21,Easy Trip Planners Limited,0,510,2021,Qtr 1,March,19,187,77.53,70.4,159.33,2021
71.23,Ecos (India) Mobility & Hospitality Limited,0,601.2,2024,Qtr 3,September,4,334,136.85,19.79,64.26,2024
63.59,Electronics Mart India,1,500,2022,Qtr 4,October,17,59,169.54,19.72,71.93,2022
3.29,Elin Electronics Limited,0,475,2022,Qtr 4,December,30,247,4.51,2.2,3.09,2022
15.21,Ellenbarrie Industrial Gases Limited,1,852.53,2025,Qtr 3,July,1,400,64.23,2.14,22.19,2025
3.09,Embassy Office Parks REIT,0,4750,2019,Qtr 2,April,1,300,2.15,0,2.57,2019
48.32,Emcure Pharmaceuticals Limited,1,1952.03,2024,Qtr 3,July,10,1008,195.83,7.21,67.87,2024
5.55,Emmbi Industries Limited,0,38.96,2010,Qtr 1,February,24,45,0.43,0.46,1.2,2010
29.73,EMS Limited,1,321.25,2023,Qtr 3,September,21,211,0.67,16.62,15.05,2023
1.28,eMudhra Ltd,0,412.79,2022,Qtr 2,June,1,256,4.05,2.61,2.72,2022
127.07,Endurance Technologies Ltd,1,1161.73,2016,Qtr 4,October,19,472,53.43,2.69,43.84,2016
5.85,Engineers India Limited,0,959.35,2010,Qtr 3,August,12,290,23.43,2.99,13.36,2010
5.85,Engineers India Ltd,0,498.13,2014,Qtr 1,February,28,150,23.43,2.99,13.36,2014
0.22,Entero Healthcare Solutions Limited,0,1600,2024,Qtr 1,February,16,1258,2.28,1.33,1.53,2024
153.8,Enviro Infra Engineers Limited,1,650.3,2024,Qtr 4,November,29,148,157.05,24.48,89.9,2024
28.1,Epack Durable Limited,0,640.05,2024,Qtr 1,January,30,230,25.5,6.29,16.37,2024
57.29,Equitas Holdings Ltd,1,2176.69,2016,Qtr 2,April,21,110,14.93,1.4,17.21,2016
0.22,Equitas Small Finance Bank Ltd,0,517.6,2020,Qtr 4,November,2,33,3.91,2.08,1.95,2020
0.45,ERIS Lifesciences Ltd,0,1741.16,2017,Qtr 2,June,29,603,4.68,3.51,3.29,2017
73.4,Eros International Media Ltd,1,350,2010,Qtr 4,October,6,175,25.79,11.95,26.51,2010
84.37,ESAF Small Finance Bank Limited,0,463,2023,Qtr 4,November,10,60,173.52,16.97,73.15,2023
28.58,ESL Steel Ltd,0,248.07,2010,Qtr 4,October,8,11,5.86,6.19,8.23,2010
32.96,Eternal Limited,1,9375,2021,Qtr 3,July,23,76,51.79,7.45,38.25,2021
0.76,Ethos Limited,0,402.26,2022,Qtr 2,May,30,878,1.06,0.32,0.61,2022
153.22,Exicom Tele-Systems Ltd,1,429,2024,Qtr 1,March,5,142,121.8,119.59,129.54,2024
5.36,Exxaro Tiles Limited,0,160.77,2021,Qtr 3,August,16,120,17.67,40.1,22.68,2021
1.45,Fedbank Financial Services Limited,0,1092.26,2023,Qtr 4,November,30,140,3.51,1.82,2.2,2023
21.01,Fine Organic Industries Ltd,0,600.17,2018,Qtr 3,July,2,783,12.86,1.62,8.99,2018
0.22,Fineotex Chemical Ltd,0,29.48,2011,Qtr 1,March,11,70,0,4.38,1.57,2011
0.21,Fino Payments Bank Limited,0,1200.29,2021,Qtr 4,November,12,577,1.65,5.92,2.03,2021
0.61,Five Star Business Finance Limited,0,1588.51,2022,Qtr 4,November,21,474,1.77,0.11,0.7,2022
33.37,Flair Writing Instruments Limited,1,593,2023,Qtr 4,December,1,304,115.6,13.01,46.68,2023
2.35,Flexituff Ventures International Ltd,0,104.63,2011,Qtr 4,October,19,155,0.51,1.6,1.17,2011
112.02,FSN E Commerce Ventures Limited (Nykaa),1,5349.72,2021,Qtr 4,November,10,1125,91.18,12.24,81.78,2021
1.38,Fusion Finance Ltd,0,1103.99,2022,Qtr 4,November,15,368,8.59,0.51,2.95,2022
7.81,Future Consumer Ltd,0,750,2011,Qtr 2,May,10,10,0.26,0.61,1.52,2011
11.15,Future Supply Chain Solutions Ltd,0,649.7,2017,Qtr 4,December,18,664,12.36,3.28,7.56,2017
165.03,G R Infraprojects Limited,1,962.33,2021,Qtr 3,July,19,837,75.4,7.69,59.1,2021
414.62,Gala Precision Engineering Limited,1,167.93,2024,Qtr 3,September,9,529,232.54,91.95,201.41,2024
6.96,Galaxy Surfactants Ltd,0,937.09,2018,Qtr 1,February,8,1480,54.27,6.01,20,2018
62.23,Gandhar Oil Refineries Limited,1,500.69,2023,Qtr 4,November,30,169,129,28.95,64.07,2023
0.31,Garden Reach Shipbuilders & Engineers Ltd,0,343.59,2018,Qtr 4,October,10,118,1.81,0.24,1.02,2018
9.03,Garuda Construction and Engineering Limited,0,264.1,2024,Qtr 4,October,15,95,1.24,10.81,7.55,2024
10.52,GB Global Limited,0,107.9,2010,Qtr 2,May,19,130,7.97,2.81,6.32,2010
0.22,General Insurance Corporation of India Ltd,0,11175.8,2017,Qtr 4,October,25,912,2.25,0.63,1.38,2017
0.51,Gland Pharma Ltd,0,6479.55,2020,Qtr 4,November,20,1500,6.4,0.24,2.06,2020
4.02,Global Health Limited,0,2205.57,2022,Qtr 4,November,16,336,28.64,0.88,9.58,2022
33.1,Global Surfaces Limited,0,154.98,2023,Qtr 1,March,23,140,8.95,5.12,12.21,2023
143.15,Globe Civil Projects Limited,1,119,2025,Qtr 3,July,1,71,99.76,53.72,86.04,2025
217.47,GNA Axles Ltd,1,130.41,2016,Qtr 3,September,26,207,17.18,11.84,54.88,2016
227.67,GNG Electronics Limited,1,460.44,2025,Qtr 3,July,30,237,266.21,46.84,147.93,2025
262.08,Go Fashion (India) Limited,1,1013.61,2021,Qtr 4,November,30,690,100.73,49.7,135.46,2021
0.9,Godavari Biorefineries Limited,0,554.75,2024,Qtr 4,October,30,352,2.76,1.71,1.83,2024
236.04,Godrej Agrovet Ltd,1,1157.31,2017,Qtr 4,October,16,460,150.96,7.67,95.41,2017
0.41,Godrej Properties Limited,0,468.85,2010,Qtr 1,January,5,490,7.45,0.38,4,2010
3,Goenka Diamond & Jewellery Limited,0,126.51,2010,Qtr 2,April,16,135,0.78,0.66,1.07,2010
9.5,Gopal Snacks Ltd,0,650,2024,Qtr 1,March,14,401,17.5,4.01,9.02,2024
11.02,GPT Healthcare Ltd,0,525.14,2024,Qtr 1,February,29,186,17.3,2.44,8.52,2024
182.52,Gravita India Ltd,1,45,2010,Qtr 4,November,16,125,6.04,37.34,42.88,2010
2.85,GTPL Hathway Ltd,0,484.8,2017,Qtr 3,July,4,170,1.48,0.99,1.53,2017
85.7,Gujarat Pipavav Port Limited,1,553.85,2010,Qtr 3,September,9,46,13.2,9.15,19.94,2010
4.97,H.G. Infra Engineering Ltd,0,462,2018,Qtr 1,March,9,270,8.37,3.08,4.98,2018
351.46,Happiest Minds Technologies Ltd,1,702.02,2020,Qtr 3,September,17,166,77.43,70.94,150.98,2020
62.17,Happy Forgings Limited,0,1008.59,2023,Qtr 4,December,27,850,220.48,15.09,82.04,2023
2.68,Hariom Pipe Industries Limited,1,130.05,2022,Qtr 2,April,13,153,1.91,6.92,3.57,2022
